# Galaxy,HQ-sample,$D_{\odot$},$D_{\rm host}$,$\log(L_{\rm V)$ ,$r_{1/2}$,$\epsilon$,$\sigma_{\star}$,$N_{\star}$,$\log(g_{\rm bar})$,$\log(g_{\rm obs})$,Ref.1,2,3
#                      (kpc)         (kpc)       ($L_{\odot}$)       (pc)   (km s$^{-1}$) (m s$^{-2}$)                           (m s$^{-2}$)
#
# Milky Way satellites
Carina,1,105,+6,-6,107,5.57,0.20,273,45,0.33,6.60,+1.20,-1.20,774,-12.15,+0.27,-0.27,-10.81,+0.18,-0.18,1,2,3
Draco,1,76,+5,-5,76,5.45,0.08,244,9,0.31,9.10,+1.20,-1.20,413,-12.18,+0.14,-0.14,-10.48,+0.12,-0.12,4,5,6
Fornax,1,147,+12,-12,149,7.31,0.12,792,58,0.30,11.70,+0.90,-0.90,2483,-11.35,+0.17,-0.17,-10.77,+0.08,-0.08,1,2,3
Leo I,1,254,+19,-16,258,6.74,0.12,298,29,0.21,9.20,+0.40,-0.40,328,-11.06,+0.18,-0.18,-10.56,+0.06,-0.06,7,2,8
Leo II,1,233,+15,-15,236,5.87,0.12,219,52,0.13,6.60,+0.70,-0.70,171,-11.67,+0.26,-0.26,-10.71,+0.14,-0.14,9,2,10
Sculptor,1,86,+6,-6,86,6.36,0.20,311,46,0.32,9.20,+1.10,-1.10,1365,-11.48,+0.26,-0.26,-10.58,+0.13,-0.13,11,2,3
Sextans,1,86,+4,-4,89,5.64,0.20,748,66,0.35,7.90,+1.30,-1.30,441,-12.96,+0.24,-0.24,-11.09,+0.15,-0.15,12,2,3
Ursa Minor,0,76,+4,-4,78,5.45,0.20,398,44,0.54,9.50,+1.20,-1.20,212,-12.60,+0.25,-0.25,-10.66,+0.12,-0.12,13,2,14
Bootes I,1,66,+3,-3,64,4.29,0.08,283,7,0.22,4.60,+0.80,-0.60,65,-13.47,+0.14,-0.14,-11.14,+0.15,-0.12,15,16,17
Bootes II,0,42,+2,-2,40,3.02,0.36,61,24,0.21,10.50,+7.40,-7.40,5,-13.40,+0.50,-0.53,-9.75,+0.63,-0.64,18,5,19
Canes Venatici I,1,216,+8,-8,216,5.08,0.08,647,27,0.30,7.60,+0.40,-0.40,214,-13.40,+0.14,-0.14,-11.06,+0.05,-0.05,16,16,20
Canes Venatici II,1,160,+5,-4,161,4.10,0.08,101,5,0.23,4.60,+1.00,-1.00,25,-12.76,+0.14,-0.14,-10.69,+0.19,-0.19,21,16,20
Coma Berenices,1,44,+4,-4,45,3.46,0.24,79,6,0.36,4.60,+0.80,-0.80,59,-13.19,+0.27,-0.27,-10.59,+0.16,-0.16,22,23,20
Hercules,0,133,+6,-6,128,4.42,0.16,175,22,0.67,3.72,+0.91,-0.91,18,-12.92,+0.22,-0.22,-11.11,+0.22,-0.22,24,24,25
Horologium I,0,79,+0,-0,79,3.29,0.04,40,5,0.28,4.90,+2.80,-0.90,5,-12.78,+0.17,-0.15,-10.24,+0.50,-0.17,26,26,27
