#   R_nom       meanR       meanlogR       gamT         gamX        sigma        weight       npairs   
  2.2055e+00   2.2230e+00   7.9728e-01   7.6805e-04   1.1458e-05   7.1253e-06   9.5479e+05   9.5479e+05
  2.6820e+00   2.7035e+00   9.9297e-01   6.9976e-04   1.0170e-05   5.8584e-06   1.4124e+06   1.4124e+06
  3.2614e+00   3.2872e+00   1.1885e+00   6.0053e-04   3.3285e-06   4.8169e-06   2.0892e+06   2.0892e+06
  3.9660e+00   3.9973e+00   1.3841e+00   5.7358e-04   7.9101e-07   3.9618e-06   3.0883e+06   3.0883e+06
  4.8228e+00   4.8613e+00   1.5797e+00   5.7491e-04   6.7391e-06   3.2599e-06   4.5615e+06   4.5615e+06
  5.8647e+00   5.9115e+00   1.7753e+00   5.2353e-04   1.2174e-06   2.6807e-06   6.7455e+06   6.7455e+06
  7.1317e+00   7.1885e+00   1.9709e+00   4.9853e-04  -4.6688e-06   2.2051e-06   9.9693e+06   9.9693e+06
  8.6725e+00   8.7417e+00   2.1665e+00   4.5419e-04  -4.1674e-06   1.8133e-06   1.4743e+07   1.4743e+07
  1.0546e+01   1.0630e+01   2.3621e+00   4.1995e-04  -2.6383e-06   1.4911e-06   2.1802e+07   2.1802e+07
  1.2825e+01   1.2927e+01   2.5577e+00   3.7401e-04   2.3573e-06   1.2272e-06   3.2189e+07   3.2189e+07
  1.5595e+01   1.5719e+01   2.7533e+00   3.3354e-04  -2.1353e-06   1.0092e-06   4.7598e+07   4.7598e+07
  1.8964e+01   1.9116e+01   2.9490e+00   2.9587e-04   5.5938e-07   8.2999e-07   7.0367e+07   7.0367e+07
  2.3061e+01   2.3244e+01   3.1445e+00   2.6545e-04   1.0576e-06   6.8160e-07   1.0434e+08   1.0434e+08
  2.8044e+01   2.8265e+01   3.3400e+00   2.3183e-04  -3.2157e-06   5.6225e-07   1.5334e+08   1.5334e+08
  3.4102e+01   3.4378e+01   3.5358e+00   1.9434e-04  -3.2785e-06   4.6175e-07   2.2735e+08   2.2735e+08
  4.1470e+01   4.1801e+01   3.7313e+00   1.6936e-04  -2.8678e-06   3.7989e-07   3.3588e+08   3.3588e+08
  5.0429e+01   5.0827e+01   3.9269e+00   1.4374e-04  -2.3610e-06   3.1187e-07   4.9837e+08   4.9837e+08
  6.1324e+01   6.1809e+01   4.1225e+00   1.2814e-04  -1.4737e-06   2.5709e-07   7.3337e+08   7.3337e+08
  7.4572e+01   7.5177e+01   4.3183e+00   1.1801e-04  -7.3601e-07   2.1124e-07   1.0863e+09   1.0863e+09
  9.0683e+01   9.1422e+01   4.5139e+00   1.0373e-04  -2.6923e-06   1.7374e-07   1.6059e+09   1.6059e+09
